nama_tempat_wisata;kategori;rating;kabupaten_kota;jumlah_rating; htm domestik ; htm internasional ;jarak (km)
Museum Le Mayeur;Budaya;4,1;Kota Denpasar;696;Rp30.000;Rp100.000;18
Belimbing Rice Terraces;Alam;4,7;Kabupaten Tabanan;686;Rp10.000;Rp20.000;60
Mt Agung Community Guides;Alam;4,6;Kabupaten Karangasem;672;Rp50.000;Rp50.000;74
Alun Alun Kota Bangli;Rekreasi;4,7;Kabupaten Bangli;679;Rp0;Rp0;50
Taman Bunga Teratai;Rekreasi;4,3;Kabupaten Karangasem;658;Rp0;Rp0;65
SIDEMEN RICE TERRACE;Alam;4,7;Kabupaten Karangasem;763;Rp25.000;Rp25.000;52
Pura Penataran Agung Catur Parahyangan Ratu Pasek Linggih Ida Betara Mpu Ghana;Budaya;4,7;Kabupaten Klungkung;646;Rp5.000;Rp5.000;48
Krisna Water Sports;Rekreasi;4,4;Kabupaten Buleleng;641;Rp100.000;Rp100.000;98
Payung Rafting Bali;Rekreasi;4,5;Kabupaten Gianyar;629;Rp300.000;Rp300.000;43
Pos Siaga Bedugul*;Alam;4,3;Kabupaten Tabanan;629;Rp5.000;Rp5.000;65
Sampalan Beach;Alam;4,5;Kabupaten Klungkung;651;Rp0;Rp0;77
Pura Ulun Danu Buyan;Budaya;4,5;Kabupaten Buleleng;629;Rp75.000;Rp75.000;69
Tirai Air Terjun Tukad Unda;Alam;4,6;Kabupaten Klungkung;623;Rp10.000;Rp10.000;45
Bandung Waterfall;Alam;4,3;Kabupaten Gianyar;631;Rp20.000;Rp20.000;43
Dermaga Serangan;Alam;4,5;Kota Denpasar;615;Rp2.000;Rp2.000;13
Pantai Klotok Klungkung;Alam;4,5;Kabupaten Klungkung;611;Rp2.000;Rp2.000;41
Taman Kumbasari;Rekreasi;4,6;Kota Denpasar;652;Rp0;Rp0;15
Sukawana Sunrise Spot;Alam;4,6;Kabupaten Bangli;616;Rp15.000;Rp40.000;88
dream island bali beach club;Alam;4,2;Kota Denpasar;581;Rp20.000;Rp20.000;14
Air Terjun Melanting;Alam;4,7;Kabupaten Buleleng;600;Rp20.000;Rp20.000;84
Air Terjun Jagasatru;Alam;4,7;Kabupaten Karangasem;606;Rp30.000;Rp30.000;68
Taman Sari Water Sport;Rekreasi;4,3;Kabupaten Badung;575;Rp250.000;Rp250.000;17
Pantai Kelating;Alam;4,4;Kabupaten Tabanan;572;Rp5.000;Rp5.000;35
Pura Penataran Sasih;Budaya;4,7;Kabupaten Gianyar;574;Rp20.000;Rp20.000;42
Bukit Asah Bali - Tempat Camping di Bali;Alam;4,5;Kabupaten Karangasem;584;Rp15.000;Rp15.000;73
Pura Dalem Taman Kaja;Rekreasi;4,5;Kabupaten Gianyar;574;Rp100.000;Rp100.000;42
Hidden Strawberry Garden;Rekreasi;4,9;Kabupaten Buleleng;577;Rp10.000;Rp10.000;68
Pelabuhan Amuk;Alam;4,5;Kabupaten Karangasem;575;Rp0;Rp0;57
Red Coral waterfall;Alam;4,4;Kabupaten Buleleng;580;Rp25.000;Rp25.000;82
Biaung Beach;Alam;4,2;Kota Denpasar;540;Rp0;Rp0;23
Candi Tebing Gunung Kawi;Alam;4,7;Kabupaten Gianyar;552;Rp75.000;Rp75.000;53
Pura Watu Klotok;Budaya;4,6;Kabupaten Klungkung;528;Rp0;Rp0;41
Pura Geger Dalem Pemutih;Budaya;4,5;Kabupaten Badung;532;Rp5.000;Rp5.000;16
Pura Batu Kursi;Budaya;4,7;Kabupaten Buleleng;532;Rp5.000;Rp5.000;136
Pantai Mengiat;Alam;4,8;Kabupaten Badung;563;Rp2.000;Rp2.000;14
Pura Luhur Tambawaras;Budaya;4,6;Kabupaten Tabanan;525;Rp2.000;Rp2.000;54
Temesi Waterfall;Alam;4,9;Kabupaten Gianyar;592;Rp20.000;Rp30.000;42
Wahana Wisata Sambhrama Ashram;Rekreasi;4,5;Kabupaten Tabanan;507;Rp25.000;Rp25.000;53
Wisata Edukasi Subak Teba Majalangu;Alam;4,7;Kota Denpasar;538;Rp10.000;Rp10.000;24
HAPPY SWING BALI;Rekreasi;4,4;Kabupaten Gianyar;573;Rp300.000;Rp300.000;49
Pantai Kayu Putih;Alam;4,3;Kabupaten Badung;505;Rp0;Rp0;16
Wisata Gelar River;Alam;4,6;Kabupaten Jembrana;520;Rp2.000;Rp2.000;111
